YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
5,1,5,4,2,0,0,1,16,4,1,0,18,1,0,1,3,4,7,0,0,7,3,2,3,2,2,4,2,8,5,0,2,1,0,0,1,6,0,0,6,2,0,4,3,1,0,7.5,0,12,3,1,0,1,0,1,1,2,3,6,15.5,0,52500,0,1769,1769,1769,12402,0.4
2,5,5,4,2,0,0,0,3,2,0,0,5,1,0,1,4,2,22,1,2,13,3,4,3,4,12,4,2,10,5,0,2,1,0,0,0,6,1,0,0,0,0,1,3,1,0,2.5,0,4,3,1,0,0,0,1,2,1,5,4,26.75,0,22500,1,2430,1890,630,11149,0.53
4,2,6,3,2,1,0,1,6,3,1,0,7,1,1,2,4,4,7,1,8,13,3,4,3,2,4,12,1,1,0,0,0,1,0,0,0,8,1,0,8,2,1,4,2,1,0,42,1,18,3,1,0,0,0,1,0,1,4,5,16.2,0,82500,0,2768,2768,2768,17083,0.59
5,4,5,3,2,0,1,0,6,3,1,0,10,0,1,1,5,4,2,1,3,3,3,4,2,2,4,4,1,5,0,0,2,1,0,0,0,6,0,0,6,3,1,2,1,0,0,29,1,12,3,1,0,0,0,0,0,1,3,2,66,1,42500,0,1755,1355,1355,7362,0.51
1,3,6,3,1,0,1,1,3,2,1,0,7,1,0,2,5,4,12,1,0,13,3,3,1,1,2,2,1,2,0,0,10,1,1,0,0,6,0,0,0,0,0,2,1,1,0,42,0,12,3,0,0,0,0,1,1,1,3,2,68,1,130000,0,4753,2290,0,9868,0.59
6,3,3,2,2,0,0,0,6,3,0,0,5,0,1,1,4,3,17,0,3,7,3,2,2,1,2,4,2,5,2,0,2,1,0,0,0,4,0,1,4,3,1,3,3,0,0,28.5,0,30,3,0,0,0,1,0,1,1,3,2,45,0,47500,0,1056,1056,1056,9610,0.5
1,3,5,3,1,0,0,1,6,3,0,0,7,1,1,1,1,3,3,0,1,1,1,2,2,1,1,1,1,2,0,0,0,1,0,0,0,6,0,0,0,0,0,2,1,1,0,5,0,22,3,1,0,0,0,1,1,1,2,1,49,0,67500,0,2070,1196,399,3563,0.56
5,1,4,5,2,1,0,0,6,2,1,1,3,0,1,2,4,3,17,2,3,7,3,5,2,1,8,8,1,5,0,0,2,1,0,0,1,9,0,0,0,0,0,0,0,1,0,32,1,12,3,1,0,1,0,0,0,2,6,3,45.333333333333336,1,47500,0,1748,1748,0,25356,0.49
2,3,6,3,3,0,1,1,16,4,0,1,5,1,1,1,1,3,12,0,8,13,3,8,2,1,4,8,8,8,8,5,6,1,0,0,1,11,0,0,6,3,1,1,1,0,0,13,0,18,2,1,0,0,0,1,1,1,5,5,25.6,0,57500,0,3300,2900,813,23563,0.49
1,2,6,5,5,0,0,1,9,2,1,0,10,0,0,2,5,5,3,0,8,7,2,4,2,2,2,2,5,10,5,5,6,1,0,0,1,13,1,0,10,3,1,1,1,1,1,185,0,30,4,0,0,1,0,1,1,1,7,4,36.25,0,130000,0,8012,7521,6579,32889,0.68
5,4,5,4,2,0,1,0,9,4,1,1,10,0,1,2,3,3,3,2,5,13,2,4,3,5,4,4,2,2,2,0,2,1,0,0,0,7,0,0,7,3,1,7,3,0,0,5,0,12,2,1,0,0,0,0,0,1,2,2,56.5,0,97500,0,2150,1531,1531,16339,0.43
1,3,3,3,1,0,0,1,1,2,1,1,5,1,0,1,4,3,3,1,0,7,3,1,2,1,12,8,0,0,0,0,6,0,0,0,0,1,0,0,7,1,1,1,2,1,0,30.5,0,18,2,1,0,1,0,1,0,1,2,3,16,0,12500,1,1898,237,1656,6907,0.53
5,3,4,2,1,1,0,1,0,4,1,1,10,1,0,1,4,3,22,0,3,7,2,1,1,1,2,2,1,1,0,0,2,1,0,0,0,4,0,1,4,1,0,0,0,0,0,29,1,7,3,0,0,1,1,1,1,1,6,1,44,0,47500,0,976,976,976,6599,0.4
1,3,5,3,2,0,0,1,9,4,1,1,10,1,0,1,4,4,22,2,3,7,3,1,2,1,4,4,1,2,0,0,2,0,0,0,0,6,1,1,6,2,1,2,1,1,0,26,0,12,3,0,0,1,1,1,2,1,2,2,71,1,47500,0,4968,2808,2808,13005,0.53
1,2,5,2,1,0,1,0,6,3,0,0,5,0,1,1,4,4,17,1,0,7,3,2,2,1,2,8,0,0,0,0,6,0,0,0,0,8,1,0,0,0,0,3,3,0,0,22.5,0,18,4,1,0,1,0,0,1,1,3,3,24,0,32500,0,3096,1632,408,7040,0.57
4,4,5,4,2,0,1,0,3,2,0,0,7,0,0,1,3,4,2,0,0,7,3,3,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,2.5,1,12,2,1,0,0,0,0,1,1,1,4,49.5,0,32500,1,2576,0,0,7439,0.39
5,1,5,4,2,1,1,1,3,4,1,0,3,1,1,1,3,4,22,1,2,3,3,2,1,1,8,8,1,1,0,0,2,0,0,0,1,5,0,0,4,1,0,1,2,1,0,13,0,7,4,1,0,0,0,1,1,1,5,2,60,0,37500,0,3100,1626,805,4888,0.55
1,2,5,3,1,0,0,1,6,2,0,0,5,1,1,1,4,3,7,1,0,3,3,2,2,2,2,2,0,0,0,0,2,0,1,0,0,7,0,0,0,0,0,2,1,1,0,2.5,0,12,4,0,0,0,0,1,2,1,2,2,70.5,1,22500,0,2142,1470,210,5474,0.59
4,4,5,5,3,0,1,1,9,2,0,0,7,1,1,1,3,4,2,0,5,13,3,2,2,1,4,8,3,10,5,1,2,1,1,0,1,8,0,0,0,0,0,2,1,1,0,18,1,7,2,1,0,1,0,1,1,1,5,4,33.75,0,130000,0,2473,2073,0,5607,0.39
5,3,5,3,1,1,0,1,1,4,0,1,3,1,1,2,4,4,12,0,1,3,3,5,2,2,4,2,2,8,1,0,0,1,0,0,1,6,0,1,6,1,0,1,0,0,0,10.5,1,7,3,0,0,1,1,1,1,2,3,1,62,0,47500,0,1744,1605,1605,10985,0.49
5,1,0,2,1,1,0,1,9,4,1,0,7,1,0,1,4,3,7,0,8,1,3,3,3,3,8,8,3,10,10,1,2,1,0,0,1,3,0,1,1,2,1,0,0,0,0,10.5,1,7,3,0,0,1,1,1,0,2,3,2,21.5,0,2000,1,1132,1132,377,15753,0.49
1,2,5,2,1,0,0,0,6,4,1,0,10,0,1,2,4,4,7,0,0,7,2,1,2,1,2,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,2,1,0,34.5,0,12,2,1,0,0,0,0,1,1,2,3,24.666666666666668,0,72500,0,1605,803,0,2924,0.6
4,4,0,2,2,0,0,0,16,2,0,0,7,0,0,1,4,3,7,0,0,0,0,3,2,2,4,4,1,2,0,0,2,1,0,0,1,5,0,0,5,1,0,1,2,1,0,38,1,12,3,1,0,0,0,0,1,1,1,5,18,0,27500,1,713,713,713,9134,0.52
1,3,5,3,2,0,0,1,1,3,0,0,7,1,0,1,3,3,7,0,0,7,3,2,2,1,4,8,1,2,0,0,0,1,0,0,1,6,0,1,6,1,0,1,1,1,0,67.5,0,7,2,1,0,1,1,1,1,2,3,3,17,0,42500,0,1984,1278,1278,13717,0.43
3,2,3,3,4,1,1,0,3,3,1,0,7,1,0,2,4,3,7,1,3,7,3,2,2,1,4,2,6,2,1,1,10,1,0,0,0,10,1,0,10,3,1,0,0,0,0,96,1,22,4,1,0,1,0,1,1,1,6,2,72.5,1,130000,0,4452,3796,3796,21250,0.41
1,2,6,2,1,0,0,1,1,4,1,0,7,1,1,1,1,3,7,1,0,7,3,2,3,1,12,12,1,2,0,0,2,1,0,0,1,5,0,0,0,0,0,3,3,1,0,50,0,12,3,1,0,0,0,1,1,3,4,2,54,0,52500,0,1426,1051,185,13617,0.57
4,1,0,3,1,2,0,1,1,4,0,0,5,1,1,1,4,3,3,0,5,0,0,1,3,2,2,2,2,1,2,0,0,1,0,0,0,6,0,1,6,3,0,0,0,0,0,2.5,0,4,4,0,0,1,1,1,0,1,3,4,16.25,0,22500,1,1297,1297,1297,17855,0.47
2,1,5,4,1,1,1,1,6,4,1,0,7,1,1,2,4,4,7,0,8,3,3,5,3,3,1,4,2,1,10,0,6,1,0,0,1,8,1,1,8,1,1,0,0,1,0,39.5,1,18,4,0,0,1,1,1,1,1,5,2,40,0,130000,0,3506,3506,3506,21335,0.55
5,3,5,4,2,1,1,1,3,2,0,0,7,1,1,1,1,3,7,1,3,3,3,3,3,1,4,4,2,2,5,0,2,1,0,0,0,9,1,0,9,2,1,2,1,0,0,5,1,0,4,1,0,0,0,1,0,1,5,2,54.5,1,130000,0,3813,3413,1713,12396,0.54
1,3,5,1,1,0,0,1,0,2,0,0,3,1,0,1,3,4,12,0,0,1,2,1,1,1,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,2.5,0,7,2,1,0,1,0,1,0,1,2,1,56,1,3750,1,581,581,0,11931,0.49
1,4,5,2,1,0,0,0,3,1,0,0,5,0,0,1,3,3,3,0,1,0,0,3,2,2,4,4,1,1,0,0,0,1,0,0,0,4,0,0,4,1,0,0,0,0,0,2.5,0,4,4,1,0,0,0,0,1,1,5,1,75,0,110000,0,2620,1260,1260,3199,0.46
2,6,5,3,1,1,0,0,1,4,0,1,5,0,1,1,3,4,7,0,3,7,3,3,3,3,4,4,1,1,0,0,6,1,0,0,0,7,0,0,6,3,0,4,3,0,0,42.5,0,0,4,1,0,0,0,0,1,1,1,3,35,0,47500,0,1269,1269,1088,13121,0.58
6,3,0,2,2,0,0,1,9,2,1,1,7,1,1,1,4,4,3,0,2,3,3,3,3,3,4,8,2,8,5,0,2,1,0,0,1,4,0,1,4,2,0,2,2,0,0,15.5,0,7,3,1,0,1,1,1,1,1,6,2,28.5,0,47500,0,1382,1382,1382,8042,0.42
6,3,3,2,1,0,0,0,9,3,1,1,10,0,0,1,4,3,7,0,0,7,3,2,3,2,12,12,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,42.5,0,12,3,1,0,1,0,0,0,1,3,2,37.5,0,12500,1,624,624,156,5880,0.55
4,7,5,3,2,1,1,0,3,1,0,1,5,0,1,3,3,3,12,0,0,3,1,5,3,3,2,4,1,2,0,0,2,1,0,0,1,7,0,0,7,3,1,5,3,0,0,27.5,0,18,3,1,0,0,0,0,2,2,6,1,49,0,52500,0,2602,2202,2202,12469,0.36
3,1,0,2,1,0,0,1,6,2,1,0,10,1,1,1,4,3,7,0,3,0,0,3,2,3,8,12,0,0,0,0,0,0,0,0,1,5,0,0,5,1,1,1,2,0,0,5,1,4,3,1,0,0,0,1,0,2,1,2,16.5,0,3750,1,900,900,900,4663,0.59
7,1,5,2,1,1,1,1,0,3,0,0,7,1,0,1,3,2,12,0,0,1,3,2,2,1,2,4,2,10,1,0,6,1,0,0,1,4,1,0,4,3,0,1,3,0,0,7.5,0,7,2,1,0,1,0,1,2,1,6,2,60.5,0,110000,0,3038,2088,1855,3357,0.54
1,1,6,4,2,0,0,0,9,3,0,0,7,0,1,2,4,3,12,0,5,7,3,3,2,1,2,2,4,10,10,2,2,1,0,0,0,9,1,0,9,1,1,1,1,0,0,66,0,22,4,1,0,1,0,0,1,1,5,4,32.25,0,130000,0,3225,2419,2150,7059,0.59
5,4,5,2,1,0,0,0,0,3,0,0,7,0,0,1,4,3,7,0,0,0,0,1,2,1,4,4,2,8,1,0,2,1,0,0,0,4,0,0,0,0,0,1,0,0,0,10.5,1,4,4,1,0,1,0,0,1,4,4,3,55.333333333333336,1,47500,0,934,934,0,2544,0.54
8,7,5,3,2,0,0,1,6,2,1,0,7,1,1,1,5,5,2,0,1,13,2,2,3,2,8,8,0,0,0,0,6,0,1,0,0,6,0,1,6,3,1,5,3,0,0,2.5,0,12,3,0,0,1,1,1,0,1,2,4,24,0,47500,0,2200,2200,2200,10496,0.37
2,4,5,4,2,0,0,0,9,1,0,1,5,1,1,1,2,4,2,1,3,3,3,1,3,2,2,4,2,2,2,0,2,1,0,0,1,5,0,1,5,1,1,3,2,1,0,5,1,12,4,0,0,1,1,1,2,1,2,3,46.333333333333336,0,17500,1,1605,1146,1146,16495,0.48
6,3,3,3,1,1,0,0,6,3,0,0,5,0,1,1,1,3,3,1,0,3,3,2,2,3,8,8,0,0,0,0,2,0,0,0,0,4,1,1,4,3,0,3,2,0,0,37,0,7,3,0,0,1,1,0,0,1,1,1,76,1,8750,1,980,980,980,9744,0.71
6,1,0,3,2,0,0,1,0,4,0,0,5,1,0,1,3,4,22,0,1,7,3,1,2,1,4,4,1,1,0,0,0,1,0,0,1,5,0,0,5,1,0,0,0,0,0,22.5,0,4,3,1,0,0,0,1,2,1,5,1,76,1,17500,0,1052,1052,1052,3938,0.53
