YEARMADERANGE,WALLTYPE,ROOFTYPE,PRKGPLC1,BEDROOMS,DEFROST,SIZRFRI1,NUMFREEZ,HEATROOM,STOVENFUEL,NCOMBATH,NHAFBATH,OVENUSE,AMTMICRO,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,AGERFRI1,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF,MEANAGE,LIGHTS
6,4,1,1,3,0,5,0,7,1,3,0,3,2,0,5,0,0,1,3,7,2,7,3,4,3,2,2,2,1,1,0,0,2,1,0,0,1,0,0,7,3,0,1,1,0,0,0,12,3,1,0,0,0,0,1,1,5,1,0,77500,0,2049,1649,1649,9183,0.55,35,25
4,3,5,0,3,0,4,1,7,1,2,0,16,3,0,7,0,1,2,3,22,0,7,3,3,3,2,4,8,2,5,1,0,6,1,1,0,1,0,0,7,2,1,1,3,1,0,1,7,3,1,0,0,0,0,2,1,2,3,0,37500,0,1730,1730,1730,7662,0.59,30.333333333333332,26
3,4,5,1,3,1,4,0,6,1,1,1,6,3,1,7,0,0,1,3,7,0,13,3,4,3,2,12,12,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,3,1,0,0,0,0,0,1,5,5,0,67500,0,3008,2608,0,4247,0.39,32,2.5
8,3,5,1,2,1,3,1,8,5,2,1,3,4,1,7,1,1,2,5,7,1,3,3,2,3,2,4,4,1,2,0,0,6,1,1,1,0,0,0,0,0,0,3,1,0,0,1,22,4,0,0,0,0,1,0,1,2,2,1,37500,0,3904,3041,1500,13789,0.6,83,57
2,1,5,0,3,1,3,0,7,5,1,0,9,2,0,5,1,1,1,3,7,3,7,3,2,2,1,4,4,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,0,0,0,0,1,2,1,4,5,1,32500,1,4241,2631,1128,12191,0.59,30.6,10.5
6,4,7,1,4,1,4,1,8,-2,4,1,6,4,0,5,0,1,4,3,12,3,3,3,4,3,2,2,4,2,5,2,0,0,1,0,0,1,0,0,8,3,1,7,3,1,1,0,22,3,1,1,1,0,1,1,1,6,2,1,130000,0,4196,3546,3546,39483,0.54,59.5,36.5
6,4,7,1,4,1,4,0,4,-2,3,1,6,4,0,7,0,0,1,3,17,5,13,3,2,2,2,4,4,1,1,0,0,2,1,0,0,0,0,0,4,1,1,0,0,0,0,1,22,4,1,0,0,0,0,0,1,7,1,1,47500,0,4248,1924,1924,8334,0.35,77,21
6,3,5,0,1,1,3,1,3,5,1,0,16,2,1,10,1,1,1,3,12,0,7,3,2,2,3,4,4,1,5,0,0,0,1,0,0,0,1,1,0,0,0,3,2,0,0,0,7,4,0,0,1,1,1,0,1,2,3,0,27500,0,988,593,395,23089,0.42,20.666666666666668,8
1,2,3,0,4,0,4,1,4,2,1,0,6,4,0,10,0,1,2,4,22,0,3,3,1,2,1,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,3,0,0,0,0,0,0,1,0,2,1,27500,0,2732,1013,0,5635,0.52,86.5,5
1,3,5,0,4,0,4,1,7,5,1,0,3,1,1,7,1,1,2,4,7,0,3,3,1,2,1,2,2,0,0,0,0,0,0,1,0,0,0,1,4,1,0,2,3,1,0,0,12,2,0,0,0,1,1,0,1,1,1,1,27500,0,2964,2076,1186,7715,0.54,77,2.5
4,2,3,0,3,0,3,0,5,2,2,1,3,2,0,7,0,0,1,4,12,8,7,2,0,0,2,0,0,3,5,5,1,2,1,1,0,0,0,1,5,2,1,5,3,1,0,1,12,4,0,0,1,1,0,2,1,3,2,1,110000,0,3280,3280,3280,21846,0.38,58,34.5
4,3,3,0,2,1,3,0,4,5,1,0,6,1,0,10,1,0,1,4,7,0,3,3,2,2,1,4,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,0,0,1,1,1,0,1,2,2,0,27500,0,672,672,168,7197,0.45,53,13
3,3,5,0,3,1,3,1,6,5,1,0,6,3,0,10,1,1,1,1,7,8,16,3,5,2,2,2,4,2,2,1,0,2,1,0,1,0,0,0,6,2,0,2,2,0,0,1,18,3,1,0,0,0,1,1,1,3,4,0,72500,0,4620,4620,3080,14903,0.61,22.5,7.5
2,4,2,0,1,0,2,0,4,5,1,0,1,0,1,5,1,0,1,4,12,0,0,0,1,2,1,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,1,1,0,5,1,0,72500,0,864,864,0,1296,0.39,59,7.5
2,7,5,1,3,0,5,0,5,1,1,0,6,3,0,7,0,0,1,1,7,0,13,3,2,2,1,8,12,1,2,0,0,6,1,0,0,0,1,0,5,3,1,0,0,0,0,0,12,3,1,0,1,0,0,1,1,4,4,0,110000,0,1344,1094,1094,5846,0.47,20.25,25
1,2,6,0,3,0,4,1,6,2,1,0,1,2,1,7,0,0,1,4,22,0,3,3,2,2,2,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,2,1,0,0,0,0,0,1,2,1,1,8750,1,1632,1632,272,5918,0.53,58,16
5,2,5,0,2,0,4,0,4,1,1,1,1,2,0,0,0,0,1,4,2,8,0,0,2,2,1,4,2,2,8,2,0,2,1,0,0,1,1,0,4,3,1,1,2,1,0,1,4,3,1,0,1,0,0,1,1,4,3,0,12500,1,818,818,818,8989,0.44,22,13
4,3,5,1,4,0,3,0,8,5,3,0,6,2,0,5,1,0,1,3,3,2,3,3,2,3,4,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,0,1,12,4,1,0,0,0,1,1,1,2,1,0,72500,0,3137,2737,0,6045,0.61,43,26.5
4,3,5,0,1,0,3,0,3,1,1,0,6,2,0,7,0,0,1,4,7,2,0,0,1,3,3,2,4,2,10,5,0,2,1,0,0,0,0,0,0,0,0,4,3,1,0,0,7,3,1,0,0,0,0,1,1,5,1,0,72500,0,739,739,246,3998,0.56,26,29
1,2,3,0,3,0,4,1,7,2,1,0,3,0,1,10,0,1,1,4,12,0,3,3,1,2,1,2,2,1,1,0,0,6,1,1,0,1,1,1,0,0,0,0,0,0,0,0,18,3,0,0,1,1,0,0,1,2,2,1,27500,0,2570,2570,0,15833,0.59,54,15.5
6,3,5,1,3,0,4,0,6,5,2,1,0,3,0,7,1,1,1,3,7,3,3,3,2,3,3,8,8,2,2,2,0,6,1,0,0,0,0,0,6,3,1,2,0,0,1,0,12,3,1,0,0,0,1,1,1,5,2,0,130000,0,3005,1704,1704,10508,0.6,29,37
4,3,5,0,2,0,4,1,5,1,2,0,6,4,0,5,0,0,1,1,22,3,7,2,2,2,1,4,8,1,2,0,0,0,1,0,0,0,0,0,5,3,0,2,3,0,0,0,18,2,1,0,0,0,0,1,0,5,3,0,42500,0,1586,1586,1586,8290,0.47,31.333333333333332,21
8,1,5,1,5,0,4,1,11,1,2,1,6,2,1,18,0,1,1,5,3,8,13,3,3,3,3,4,2,2,8,8,0,10,1,0,0,0,1,0,11,3,1,3,3,0,0,0,22,3,1,0,0,0,0,1,1,5,5,0,130000,0,3824,3424,3424,19568,0.52,18.8,17
1,2,5,0,3,1,3,0,5,1,2,0,9,1,0,10,0,1,2,4,2,0,3,2,4,3,3,8,12,3,1,1,1,2,1,0,0,0,0,1,0,0,0,2,1,1,0,0,12,4,1,0,1,1,0,0,1,2,6,1,62500,0,2392,1417,468,6545,0.56,17.166666666666668,23.5
4,4,5,0,2,0,3,0,3,5,1,0,6,4,0,7,1,0,1,4,22,1,3,3,1,2,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,7,3,0,0,1,1,1,1,1,5,1,0,37500,0,1044,626,0,2789,0.48,60,41
6,1,5,1,4,1,3,1,6,5,3,0,6,3,1,7,1,0,1,4,12,3,3,3,2,2,1,8,8,2,5,1,0,0,1,0,0,1,0,1,6,2,1,6,1,0,0,0,12,3,0,0,1,1,1,0,1,4,2,1,57500,0,2372,1453,1453,24775,0.39,75.5,8
6,1,5,0,1,1,3,0,4,1,1,0,3,3,0,7,0,1,1,4,12,2,3,3,1,3,3,2,4,2,10,5,0,2,1,0,0,0,0,1,4,2,0,2,3,0,0,0,2,4,1,0,1,1,0,1,1,5,1,0,12500,1,756,756,756,4564,0.43,24,16
8,3,5,0,4,0,4,1,6,5,2,0,1,3,0,5,1,0,1,4,3,0,3,0,2,3,3,2,4,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,7,3,0,0,1,1,1,0,2,2,6,0,3750,1,1485,1485,1485,18648,0.44,19.166666666666668,5
2,3,6,0,2,1,4,0,3,1,1,0,6,3,0,10,0,1,1,4,7,0,0,0,2,1,1,8,8,2,8,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,1,0,1,0,0,2,0,5,2,0,17500,1,1204,723,0,13196,0.49,22.5,26
7,3,5,1,3,1,4,1,7,5,2,1,6,4,0,7,1,0,1,3,7,3,13,3,3,2,1,4,4,1,1,0,0,2,1,0,0,0,0,1,7,2,1,2,2,0,0,1,7,4,1,0,0,1,1,1,1,5,3,0,82500,0,2706,2306,2306,7085,0.57,24.666666666666668,26
4,4,5,1,4,0,5,1,4,5,2,1,0,4,1,7,1,0,1,2,2,3,3,1,2,2,1,4,2,1,2,0,0,0,1,0,0,1,0,0,4,3,0,3,3,0,0,1,22,4,1,0,0,0,1,0,1,6,1,1,72500,0,3031,1316,1316,7595,0.39,70,38.5
3,2,3,0,2,0,4,0,5,2,1,0,6,1,0,7,0,0,1,3,7,3,7,3,2,3,2,2,2,1,5,0,0,2,1,1,0,0,0,0,5,3,0,3,3,0,0,0,12,2,0,0,1,0,0,2,1,5,4,0,97500,0,1025,1025,1025,21108,0.49,18,5
4,1,5,1,3,1,4,1,6,5,2,0,9,4,0,7,1,1,1,3,2,8,16,3,3,2,1,8,8,2,5,2,0,2,0,0,0,1,1,1,6,3,1,4,3,1,1,0,12,2,0,0,1,1,1,0,1,3,2,1,42500,0,1675,1093,1093,26609,0.52,57,5
1,4,5,0,4,0,3,0,1,1,1,0,0,4,0,1,0,0,1,4,2,0,0,0,1,2,2,2,2,1,8,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,4,2,1,0,0,1,0,0,1,5,1,1,12500,1,200,200,200,1411,0.39,70,5
4,3,2,1,3,0,3,0,6,1,1,1,3,2,1,5,0,1,1,4,3,0,3,3,2,1,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,1,0,0,0,0,0,1,3,2,0,27500,0,2840,1290,0,2520,0.56,18,10.5
6,3,5,0,2,0,4,0,4,1,1,1,16,1,0,7,0,1,2,4,7,8,7,2,2,2,5,8,4,2,8,2,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,12,4,1,0,1,1,0,1,1,3,4,0,130000,0,1638,1092,273,4317,0.53,27.75,10.5
4,4,5,1,4,1,4,0,5,1,3,0,6,2,0,10,0,1,2,4,2,5,7,3,5,3,3,4,4,4,2,2,2,0,1,0,0,1,0,0,7,3,1,3,3,0,0,1,7,3,1,0,1,0,0,1,1,6,4,0,130000,0,1814,1117,1564,8906,0.4,37.75,52.5
6,1,5,0,2,0,4,1,6,5,2,0,6,2,1,7,1,1,1,1,3,5,7,3,2,3,2,4,12,1,2,0,0,0,1,0,0,0,0,0,6,3,1,3,3,0,0,0,30,4,1,0,1,0,1,1,2,4,3,0,77500,0,888,888,888,6276,0.46,38,21
4,2,6,1,4,1,4,1,8,-2,2,0,1,2,0,10,1,1,2,3,12,3,3,3,3,3,2,4,2,2,10,2,0,2,1,0,0,1,1,0,5,1,1,0,0,1,0,1,18,3,1,0,0,0,1,2,1,5,2,0,77500,0,3660,3260,1222,8216,0.59,57.5,35.5
1,3,5,0,4,1,3,2,6,5,1,1,9,2,0,5,1,0,2,1,17,0,3,3,3,2,1,8,8,0,0,0,0,0,0,0,0,1,1,0,5,1,0,1,1,0,0,0,12,2,1,0,0,0,1,0,1,0,2,1,12500,1,2112,1188,990,5519,0.54,86,2.5
3,3,5,0,3,1,4,1,6,1,2,0,16,2,0,10,0,1,2,5,3,3,3,3,3,3,4,12,12,1,2,0,0,6,1,1,0,1,0,0,6,3,0,2,2,1,0,0,18,4,1,0,0,0,0,0,2,2,2,1,72500,0,1984,1984,1984,8145,0.59,61.5,5
1,2,5,0,3,1,3,0,5,1,2,0,6,3,0,7,0,1,1,5,7,3,3,2,1,2,1,1,1,2,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,22,2,1,0,1,0,0,1,1,8,3,0,110000,0,2025,964,771,3092,0.57,33.666666666666664,38.5
6,1,5,1,4,1,4,0,7,1,2,0,1,4,1,18,0,1,2,3,7,5,13,3,3,3,5,2,2,1,5,0,0,2,1,0,0,1,0,0,7,3,0,4,3,0,0,1,18,4,1,0,0,0,0,0,1,6,3,0,110000,0,2000,1600,1600,21715,0.39,37.333333333333336,101
1,4,5,0,5,0,4,1,8,5,2,0,1,2,0,7,1,1,1,4,12,0,7,3,6,2,1,12,12,3,5,5,2,2,1,0,0,0,1,0,0,0,0,4,0,1,0,0,18,3,1,0,0,0,1,2,2,4,5,1,110000,0,4968,4968,1242,10624,0.56,44.2,2.5
1,3,6,0,2,1,4,0,5,5,1,0,3,3,0,5,1,1,2,4,7,0,7,3,3,3,3,2,4,2,2,2,0,2,1,0,0,1,0,0,5,2,0,2,2,1,0,0,7,3,1,0,0,0,1,1,1,3,2,0,57500,0,1456,1456,1456,8036,0.58,49,13
4,1,5,0,2,1,3,0,5,5,2,0,16,3,0,7,1,1,1,4,12,2,3,3,2,1,1,4,4,0,0,0,0,2,0,0,0,0,0,1,5,1,0,1,2,0,0,1,4,3,1,0,0,1,1,0,1,2,1,1,27500,0,1164,1164,1164,2564,0.57,85,31.5
4,4,6,1,2,0,2,0,4,5,1,0,3,4,0,7,1,1,1,3,2,3,3,3,1,2,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,3,1,0,0,0,1,0,1,2,1,1,22500,0,1159,909,0,4946,0.55,84,23.5
5,2,5,0,4,0,4,0,7,5,2,0,9,3,1,10,1,1,1,4,7,3,7,3,2,3,2,2,4,1,1,0,0,2,1,0,0,1,1,1,0,0,0,1,0,1,1,0,12,4,0,0,1,1,1,0,1,2,4,0,77500,0,1680,1680,0,27835,0.59,15.75,5
1,2,5,0,3,1,4,1,6,5,1,0,9,4,0,10,1,1,1,4,7,0,7,3,3,3,2,8,8,0,0,0,0,2,0,1,1,0,0,0,6,1,1,3,2,0,0,0,22,3,1,0,0,0,1,0,1,2,3,0,37500,0,4704,1607,1568,6711,0.47,28,43.5
4,2,2,0,2,0,3,0,3,1,1,0,1,2,0,7,0,0,1,4,17,0,3,3,2,3,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,1,0,0,0,0,0,1,1,2,1,17500,1,782,587,391,6111,0.49,65.5,5
4,4,5,0,2,0,2,0,0,1,1,1,1,2,0,7,0,0,1,4,12,0,3,3,1,3,2,4,8,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,1,1,2,4,0,27500,1,1038,0,259,4960,0.39,18.25,0
1,3,5,0,3,1,4,1,6,1,1,1,6,4,1,18,0,0,2,4,3,8,13,3,2,2,2,4,4,3,10,2,1,2,1,0,0,1,1,0,0,0,0,4,3,0,0,0,12,2,1,0,0,0,0,2,1,2,5,0,82500,0,1692,1269,0,5731,0.57,28,26.5
2,7,1,0,4,0,4,0,6,1,2,0,1,1,1,7,0,1,1,3,3,0,3,3,1,3,2,1,2,0,0,0,0,2,0,1,0,0,0,0,6,3,0,2,1,1,0,1,12,4,1,0,1,0,0,1,1,7,2,1,32500,0,2223,2223,2223,13910,0.39,71.5,5
8,4,1,1,2,0,4,0,5,5,2,1,0,1,0,1,1,0,1,3,3,2,3,3,2,3,4,2,2,0,0,0,0,0,0,0,0,0,0,1,5,3,0,3,1,0,0,1,7,4,0,0,1,1,1,0,2,6,1,1,42500,0,1600,1200,1600,9638,0.36,60,5
2,3,5,0,3,0,3,0,6,-2,2,0,1,2,1,10,1,0,1,3,3,1,3,3,3,2,2,8,4,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,1,1,1,1,1,3,0,77500,0,2240,2240,0,8279,0.57,44.333333333333336,5
1,1,6,0,2,1,3,1,6,5,1,0,16,3,1,5,1,0,1,4,17,0,1,3,1,1,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,0,0,12,3,1,0,0,1,1,0,1,3,1,1,12500,1,1440,1440,240,7776,0.45,65,12
7,3,5,1,3,1,3,0,5,5,2,0,9,2,1,10,1,1,1,4,7,3,3,3,2,3,3,2,2,4,10,5,2,0,1,0,0,0,1,0,5,1,1,5,1,0,0,1,12,4,1,0,0,0,1,1,1,5,4,0,57500,0,4192,2096,2096,7477,0.62,25,5
7,1,5,1,4,1,5,1,9,5,2,1,9,4,0,7,1,1,2,3,7,2,7,3,2,2,1,4,8,3,10,10,1,2,1,0,0,0,0,0,9,3,1,7,3,0,0,0,30,4,1,0,0,0,1,1,1,5,2,0,110000,0,3923,3273,3273,21737,0.53,28.5,44.5
1,1,5,0,1,0,3,0,3,5,1,0,16,1,1,10,1,0,1,4,7,0,3,0,2,3,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,0,1,0,1,0,1,2,1,1,12500,1,550,550,367,4273,0.6,68,22.5
4,3,5,1,5,0,5,1,10,1,2,1,16,1,0,7,0,1,2,3,7,3,7,3,5,2,2,4,4,3,2,2,1,0,1,0,0,0,0,0,10,3,1,1,1,1,0,0,22,3,1,0,1,0,0,0,1,5,5,0,130000,0,4082,2516,2516,13831,0.56,30.4,29
3,2,1,1,3,0,3,0,6,5,1,0,9,2,0,18,1,1,1,4,7,0,7,3,3,3,3,1,2,3,2,2,1,2,1,0,1,1,0,0,6,2,0,2,2,1,0,1,12,3,1,0,0,0,1,1,1,4,2,0,110000,0,3640,3240,1616,7404,0.6,34.5,2.5
7,4,1,1,5,0,4,0,4,-2,4,0,1,3,1,10,0,0,2,3,12,0,3,3,3,3,2,2,2,2,5,2,0,2,1,0,0,0,0,0,4,1,1,1,1,0,0,0,7,4,1,0,0,0,1,2,4,2,3,0,42500,0,4060,1705,1705,7254,0.43,36.666666666666664,7.5
4,1,2,1,3,0,4,0,6,5,1,0,9,3,0,7,1,1,1,4,7,5,7,3,1,2,2,4,4,1,1,0,0,2,1,0,0,0,1,1,6,3,0,1,2,1,0,0,7,4,0,0,1,1,1,0,1,5,2,0,47500,0,1920,830,830,13736,0.47,41.5,0
8,2,5,1,4,0,3,0,7,5,2,0,0,1,0,10,1,0,1,4,3,1,13,3,5,3,3,8,8,1,1,0,0,0,0,0,0,0,0,1,7,1,1,2,0,0,0,1,7,4,0,0,1,1,1,0,1,1,7,0,22500,1,1352,1102,1102,19387,0.52,18.857142857142858,22.5
4,2,5,0,2,0,4,0,5,5,2,0,9,2,0,7,1,1,1,4,7,5,3,3,2,2,1,4,4,1,1,0,0,2,0,0,0,1,0,1,5,2,0,1,1,0,0,1,7,2,0,0,1,1,1,1,1,2,5,0,32500,1,1137,1137,1137,14667,0.43,17.8,28.5
3,2,6,0,4,0,5,0,8,1,2,0,6,2,0,7,0,1,1,3,12,3,3,2,3,3,2,2,2,4,1,1,1,2,1,0,0,1,1,0,8,3,1,2,3,1,0,0,18,3,1,0,0,0,0,1,1,5,3,0,72500,0,1807,1515,1515,16617,0.44,27.666666666666668,7.5
1,3,2,0,3,1,3,0,7,5,1,0,6,2,0,10,1,1,1,1,7,1,13,3,3,3,2,12,12,2,10,1,0,2,1,0,0,0,0,0,0,0,0,2,2,0,0,0,18,2,1,0,0,0,1,0,1,2,5,0,32500,1,2081,1387,0,2118,0.62,22.6,2.5
2,1,5,0,2,0,3,2,4,-2,1,0,1,4,0,1,0,0,2,4,12,0,3,3,3,2,1,8,8,1,1,0,0,0,1,0,0,0,0,0,4,3,0,3,0,0,0,0,7,3,1,0,0,0,0,0,2,2,2,1,42500,0,1511,755,755,8665,0.54,66,0
1,1,8,0,2,0,4,1,4,5,1,0,6,4,1,10,1,1,1,4,2,0,0,0,5,3,3,8,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,7,3,0,0,0,1,1,1,2,2,5,0,27500,1,1055,1055,791,10838,0.6,19.8,10.5
6,3,5,1,5,1,4,0,14,-2,4,1,16,3,0,10,1,1,4,2,2,2,3,3,5,3,3,8,8,3,10,5,5,10,1,0,0,1,1,0,14,3,1,5,3,1,0,0,30,3,1,0,1,0,1,1,1,5,3,0,130000,0,6206,5084,5084,28703,0.47,41.666666666666664,75
2,7,7,1,3,0,4,1,7,5,2,1,6,4,0,10,1,1,2,4,3,3,3,2,4,3,2,12,4,0,0,0,0,2,0,1,0,0,0,1,7,3,0,6,1,0,0,0,18,3,0,0,1,1,1,0,1,2,2,1,47500,0,2292,1892,1892,13116,0.41,71.5,15.5
3,1,5,0,2,0,3,0,4,5,1,0,3,3,0,5,1,1,1,4,7,1,0,0,2,3,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,1,0,1,0,1,1,1,2,2,0,22500,0,881,881,220,4717,0.51,24,8
4,3,5,1,3,0,3,0,5,1,1,0,6,2,0,7,0,1,1,3,7,0,7,3,2,2,1,8,8,1,2,0,0,2,1,0,0,0,1,0,5,2,1,5,1,0,0,1,30,2,1,0,1,0,0,0,1,3,4,0,32500,1,1432,1182,1182,5957,0.54,20,2.5
6,1,6,1,4,1,4,0,9,5,5,0,6,4,0,5,1,1,2,4,17,3,3,3,5,3,3,4,8,2,2,2,0,0,1,1,0,1,0,1,9,3,0,3,1,0,0,0,12,4,0,0,1,1,1,1,2,5,3,0,130000,0,4538,4138,4138,44768,0.39,46,2.5
2,2,5,1,3,0,4,0,6,1,2,0,6,1,1,0,0,0,1,4,22,3,7,3,1,1,1,1,2,1,2,0,0,0,1,0,0,1,1,0,6,1,0,0,0,1,0,1,12,4,1,0,0,0,0,1,1,6,2,0,110000,0,1750,994,875,6467,0.58,63.5,7.5
1,3,6,0,3,0,4,1,6,5,1,1,3,3,0,10,1,0,1,5,3,0,7,3,2,2,1,4,4,1,2,0,0,2,1,0,0,0,0,1,6,1,1,1,1,0,0,0,22,4,1,0,0,1,1,1,1,4,2,0,52500,0,3367,3367,2268,9266,0.56,60,2.5
4,1,4,0,3,1,4,1,8,5,2,1,6,3,1,7,1,0,1,3,12,8,7,3,2,2,1,8,2,1,1,0,0,2,0,1,0,0,0,1,8,3,0,3,1,0,0,0,18,4,0,0,1,1,1,0,1,5,2,1,72500,0,2550,2550,2550,20822,0.42,56.5,34.5
3,1,2,1,4,0,4,0,8,5,1,1,3,2,1,5,1,1,1,3,7,1,1,3,2,2,1,2,4,1,1,0,0,0,1,0,0,1,1,0,8,3,1,2,3,0,0,0,12,3,1,0,0,0,1,0,4,4,2,1,67500,0,3038,2638,2638,12490,0.4,69,13
