YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,INTERNET,WELLPUMP,AQUARIUM,STEREO,BATTOOLS,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
5,1,0,0,1,0,0,1,16,3,1,0,10,1,0,1,4,3,7,0,3,0,0,1,2,1,4,4,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,14.5,0,2,3,1,0,0,0,1,0,1,3,1,85.0,1,37500,0,411,411,411,4031,0.6
6,3,5,4,2,1,1,1,9,4,1,0,7,1,1,2,4,4,7,0,5,7,3,4,3,2,4,12,3,5,5,1,1,0,0,0,2,9,1,1,9,3,1,0,0,1,0,98.0,1,18,3,1,0,0,1,1,1,1,5,2,57.5,1,130000,0,4740,3680,3680,13020,0.46
3,3,5,3,1,0,0,0,0,1,0,1,5,0,0,1,0,1,3,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,0,12,2,0,0,0,0,0,0,2,1,1,46.0,0,2000,1,1482,0,247,2079,0.45
5,3,6,3,3,1,1,1,0,1,1,0,1,1,1,2,4,4,22,1,1,1,3,3,2,1,1,1,0,0,0,0,0,0,0,0,2,12,0,0,12,1,1,3,1,0,1,0.0,1,18,4,1,0,0,0,1,0,1,3,2,61.5,1,92500,0,3863,3213,3213,12497,0.51
2,4,5,4,3,0,1,0,6,4,0,0,5,0,1,1,4,4,22,0,3,3,3,4,2,2,4,4,4,8,8,2,1,0,0,0,2,6,0,0,6,3,1,2,2,1,0,44.5,0,7,3,1,0,0,0,0,0,4,5,4,41.5,0,97500,0,3168,2768,2768,12200,0.39
4,3,5,3,2,0,0,0,6,2,1,1,5,0,1,1,3,4,7,1,0,7,3,3,3,2,12,12,1,5,0,0,1,0,0,1,2,6,0,0,0,0,0,5,3,0,0,18.5,0,7,2,1,0,1,0,0,0,1,3,2,52.5,0,82500,0,1584,1584,528,9187,0.56
2,0,5,2,1,0,0,0,1,4,0,0,0,0,1,1,5,5,2,0,1,1,1,1,3,2,2,2,1,10,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,1,0,12.5,1,18,4,0,0,0,0,0,1,1,2,1,35.0,0,130000,0,3042,3042,0,13984,0.55
7,4,1,4,2,1,1,0,1,2,0,0,3,0,0,1,3,4,7,0,1,1,3,2,2,2,4,4,0,0,0,0,0,0,0,0,0,8,0,0,8,2,1,6,2,1,0,10.5,1,12,4,1,0,1,0,0,0,2,5,1,80.0,1,12500,1,3834,3184,3184,4413,0.37
4,3,6,5,2,0,1,1,28,2,1,0,10,1,1,1,4,3,7,0,8,3,3,4,2,2,4,4,3,5,2,5,1,0,0,0,2,9,1,1,9,1,0,1,1,1,0,55.5,1,12,4,1,0,0,1,1,0,1,3,2,50.0,1,32500,0,4455,4055,3650,19041,0.57
1,3,6,3,1,0,0,0,9,4,1,0,7,0,1,1,4,4,7,0,0,3,3,4,3,2,4,2,1,2,0,0,1,0,0,0,0,5,0,0,0,0,0,1,1,0,0,7.5,0,12,2,1,0,1,0,0,1,4,2,3,16.0,0,22500,1,995,663,0,3125,0.56
6,1,0,2,1,1,0,1,6,4,0,1,7,1,1,1,3,5,7,1,8,13,3,5,2,1,4,4,0,0,0,0,0,0,0,1,2,5,0,1,0,0,0,3,1,0,0,21.0,0,12,4,0,0,1,1,1,0,1,2,2,66.5,1,67500,0,2781,2781,556,11688,0.57
4,3,3,1,1,0,0,1,6,4,0,0,10,1,0,1,1,2,2,0,0,0,0,1,2,3,8,8,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,10.5,0,30,2,0,0,0,1,1,0,1,3,1,55.0,0,3750,1,400,0,200,2447,0.37
7,1,5,3,2,0,1,1,16,4,0,1,18,1,1,1,3,5,2,0,0,3,3,2,3,2,12,12,1,10,0,0,1,0,0,1,0,4,1,1,0,0,0,3,1,0,0,32.5,0,12,2,0,0,1,1,1,1,1,3,3,17.333333333333332,0,62500,0,2410,1149,0,13137,0.47
4,3,5,3,1,1,0,1,9,2,0,1,7,1,1,1,0,4,7,0,3,3,3,5,3,2,4,8,2,1,1,0,1,0,0,0,0,7,1,0,4,3,1,3,1,1,0,23.5,1,12,3,0,0,0,0,1,1,1,3,2,61.0,0,110000,0,1638,1365,624,11009,0.47
4,4,2,2,1,0,0,1,6,4,1,0,10,1,1,1,4,3,22,0,0,3,3,3,1,1,2,4,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2.5,1,4,3,0,0,0,1,1,2,1,2,3,23.666666666666668,0,12500,1,840,0,0,6925,0.38
4,4,5,3,1,1,1,1,1,4,1,0,7,1,1,1,1,3,22,1,0,3,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,7,0,1,7,1,0,0,0,1,0,7.5,1,12,3,0,0,1,1,1,1,1,2,2,54.5,0,37500,0,1800,900,900,32493,0.51
5,0,5,3,2,0,1,1,6,4,1,1,7,1,1,1,3,4,17,0,5,7,3,2,2,1,4,4,2,10,10,0,1,0,0,0,2,7,1,1,7,3,0,2,1,1,0,120.0,0,7,3,0,0,1,1,1,0,1,6,2,55.5,1,37500,0,1998,1598,1598,20250,0.42
3,3,5,4,1,1,1,1,3,4,1,0,7,1,1,1,3,3,12,0,3,7,3,2,1,2,2,1,2,5,1,0,1,0,0,1,2,4,0,1,4,1,1,5,3,1,0,2.5,0,7,4,0,0,1,1,1,1,1,5,1,59.0,0,82500,0,2191,971,971,19950,0.44
7,3,5,3,2,0,0,1,9,3,0,0,10,1,1,1,3,4,2,1,3,7,3,2,3,1,2,4,3,5,2,2,1,0,0,0,0,5,0,1,5,3,0,3,3,1,0,7.5,0,12,4,0,0,1,1,1,2,1,2,4,31.75,0,32500,1,1488,1488,1488,31973,0.47
6,1,0,3,2,1,0,1,6,2,0,1,5,1,1,1,4,3,7,0,1,7,3,4,2,1,4,8,1,1,0,0,1,0,0,1,0,7,0,1,7,3,0,4,3,0,0,10.5,0,7,3,0,0,1,1,1,1,2,5,4,21.5,0,57500,0,1260,1260,1260,23414,0.41
5,1,0,0,1,0,0,1,1,2,0,1,3,1,1,1,4,3,22,0,2,0,0,2,2,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,5.0,1,4,3,1,0,0,0,1,2,1,3,1,22.0,0,12500,1,527,527,527,4818,0.6
3,4,5,3,2,0,0,0,0,3,0,1,10,0,0,1,4,4,7,0,3,3,3,3,3,2,2,4,2,2,1,0,1,0,0,1,2,5,0,0,0,0,0,0,0,0,0,18.5,0,4,4,1,0,0,0,0,0,1,1,4,31.75,0,22500,1,1131,1131,0,2840,0.37
4,1,0,2,1,0,0,1,16,2,0,1,5,1,0,1,1,3,3,0,3,0,0,2,1,1,4,4,0,0,0,0,0,0,0,0,0,4,0,0,4,1,1,0,0,0,0,14.5,0,7,4,1,0,0,0,1,0,1,1,3,8.666666666666666,0,2000,1,834,834,834,4369,0.41
5,3,3,3,1,1,0,1,9,2,0,0,7,1,1,1,4,3,7,1,0,7,3,1,2,1,2,2,0,0,0,0,0,1,0,0,2,4,0,1,4,3,0,1,1,1,0,10.5,0,7,3,0,0,1,1,1,1,1,1,2,58.0,0,47500,0,1120,896,896,22070,0.52
5,3,5,3,2,0,1,0,16,2,0,1,10,0,1,1,3,4,3,0,1,7,3,3,2,1,8,2,2,2,1,0,1,0,0,1,2,6,0,0,6,3,1,1,0,1,0,21.0,0,7,2,1,0,1,0,0,1,1,4,3,29.333333333333332,0,67500,0,1820,1420,1420,14517,0.46
6,5,0,0,1,0,0,0,1,3,0,0,5,0,0,1,0,3,7,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5,0,12,4,1,0,0,0,0,1,5,0,1,65.0,0,3750,1,1188,1188,0,1634,0.59
1,2,5,2,1,0,0,1,1,4,0,0,18,1,1,1,4,3,12,0,0,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0,4,1,1,0,10.5,0,7,2,1,0,1,0,1,0,1,2,1,76.0,1,22500,0,846,677,677,1572,0.66
4,1,5,3,2,1,0,1,9,1,0,0,7,1,1,1,3,4,7,0,1,3,3,1,3,2,2,2,2,8,1,0,1,0,0,0,6,5,0,1,5,2,0,3,2,1,0,21.0,0,12,4,0,0,1,1,1,2,6,5,2,45.0,0,67500,0,1564,1564,1564,12914,0.51
1,1,6,2,1,0,0,0,1,0,0,1,5,0,1,1,4,3,12,0,0,1,0,1,2,1,2,2,1,1,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,1,0,10.5,0,7,3,1,0,0,1,0,1,1,4,1,42.0,0,47500,0,806,806,115,3685,0.62
4,1,3,4,2,0,0,0,6,2,0,0,10,1,0,2,3,4,12,1,8,13,3,0,0,0,0,0,4,5,2,1,1,0,0,1,6,10,0,1,10,3,1,4,3,1,0,49.0,0,18,2,0,0,1,1,1,0,1,5,5,28.8,0,130000,0,2403,2403,2403,17752,0.42
6,3,5,3,2,0,0,0,1,2,0,1,7,0,0,1,3,4,12,1,0,7,2,2,3,2,2,4,1,2,0,0,1,0,0,0,0,5,0,0,5,1,0,4,1,1,0,31.5,0,7,3,1,0,0,0,0,1,1,3,2,47.0,0,37500,0,1372,1372,1372,7151,0.48
7,1,5,4,2,1,1,1,6,4,0,0,10,1,0,1,3,4,2,1,3,3,3,2,3,3,4,8,1,5,0,0,1,0,0,0,6,5,0,0,7,3,1,5,1,1,1,29.0,1,12,3,1,0,0,0,1,1,2,4,4,24.0,0,62500,0,2800,1714,2400,14668,0.52
2,3,5,2,1,0,0,0,6,2,0,0,7,0,1,1,1,2,7,0,0,3,3,1,3,2,4,1,1,1,0,0,1,0,0,0,2,6,1,0,0,0,0,4,3,0,0,5.0,0,12,4,1,0,0,0,1,1,1,3,2,51.0,0,72500,0,2304,2304,0,4468,0.59
4,1,5,3,1,0,0,1,16,4,1,0,10,1,0,1,4,3,7,1,8,13,3,3,2,2,12,12,1,10,0,0,1,0,0,1,0,5,0,1,0,0,0,4,3,0,0,34.0,0,7,4,0,0,1,1,1,1,1,3,7,12.857142857142858,0,37500,1,1770,1180,472,22657,0.49
3,2,2,2,1,0,0,1,9,0,0,1,7,1,0,1,4,2,7,0,0,0,0,1,3,2,2,4,0,0,0,0,0,0,0,0,2,4,0,1,4,2,0,0,0,0,0,45.0,0,7,2,0,0,1,1,1,0,1,1,4,26.5,0,17500,1,1323,1323,1323,14287,0.52
3,4,7,3,2,0,0,0,6,4,1,1,10,0,0,2,3,3,7,0,0,3,3,5,3,2,12,12,0,0,0,0,0,0,0,0,2,5,0,0,5,1,1,1,1,0,0,10.0,0,12,2,1,0,1,0,0,1,1,3,9,23.555555555555557,0,42500,1,1155,1155,1155,8532,0.39
6,5,1,3,2,1,1,1,6,3,0,0,5,1,0,1,3,3,2,0,2,3,3,4,2,3,8,4,1,2,0,0,1,0,0,0,0,6,0,1,6,3,1,5,1,0,1,42.5,1,12,4,0,0,1,1,1,1,1,6,1,48.0,0,47500,0,2040,1640,1640,11649,0.39
8,3,0,2,2,0,0,1,9,3,1,0,7,1,1,1,4,3,7,0,3,3,3,2,2,2,4,8,1,2,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5.0,1,2,4,1,0,1,0,1,2,1,5,2,26.0,0,27500,0,1069,802,267,3070,0.7
3,1,6,4,1,0,0,1,9,4,0,1,18,1,1,1,3,3,7,1,0,13,3,4,2,1,8,12,0,0,0,0,0,0,0,0,0,6,0,0,5,3,0,1,3,0,0,29.0,0,12,2,1,0,0,0,1,0,1,2,5,27.8,0,92500,0,1200,1200,1200,16186,0.46
5,5,1,3,2,1,1,1,1,4,1,1,10,1,0,1,4,4,7,0,1,1,3,1,2,1,8,8,1,2,0,0,1,0,0,0,6,3,0,1,3,1,0,1,1,0,0,21.0,1,12,3,0,0,1,1,1,0,1,5,1,73.0,0,6250,1,2214,907,907,6618,0.4
1,1,0,0,1,0,0,0,16,1,0,1,1,0,0,1,5,4,3,0,0,0,0,1,2,2,2,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.5,0,7,3,1,0,1,0,0,1,2,5,2,13.0,0,8750,1,517,517,517,4230,0.62
3,1,3,3,2,0,1,1,9,3,0,0,10,1,1,2,1,3,7,3,0,3,2,1,3,2,4,4,0,0,0,0,0,0,0,1,0,5,0,0,5,3,1,4,3,1,0,65.0,0,22,3,1,0,0,0,1,0,1,2,2,74.0,1,52500,0,2092,1842,1842,9728,0.41
1,3,6,3,1,0,0,1,6,2,1,0,5,1,1,1,3,5,2,0,3,7,3,2,3,2,2,2,3,10,5,1,1,0,0,1,6,5,1,1,0,0,0,3,2,1,0,8.0,0,18,3,1,0,0,1,1,1,1,5,2,47.5,0,67500,0,3604,1802,1081,11226,0.54
4,3,2,2,1,0,0,0,9,1,1,1,7,0,1,1,4,3,12,0,3,3,3,1,2,2,2,2,2,2,1,0,1,0,0,1,2,4,0,1,0,0,0,0,0,0,0,24.0,1,12,3,0,0,0,1,0,0,1,6,1,57.0,0,42500,0,840,840,420,4475,0.5
1,3,6,1,1,0,0,0,6,3,0,1,18,0,1,1,1,3,7,0,0,7,0,2,3,1,4,4,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,2,0,0,8.0,0,7,3,1,0,0,0,0,0,1,1,2,41.0,0,12500,1,694,694,0,3223,0.55
6,3,5,3,2,0,1,1,6,2,1,0,7,1,1,1,4,3,3,1,3,7,3,2,2,2,8,8,1,5,0,0,1,1,0,0,2,6,0,0,6,3,0,2,3,1,0,26.5,1,7,3,1,0,0,0,1,0,1,5,2,78.5,1,37500,0,2626,2301,1576,6842,0.53
1,2,5,3,1,0,0,0,6,3,1,0,10,0,0,1,4,4,7,0,0,0,0,0,0,0,0,0,3,8,5,5,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,42.0,0,12,2,1,0,0,1,0,1,6,3,3,33.666666666666664,0,130000,0,1125,938,0,7376,0.65
8,1,5,2,2,0,0,1,6,2,0,0,10,1,1,1,4,4,3,0,3,3,3,2,3,2,4,2,1,1,0,0,1,0,0,1,0,2,0,1,2,3,0,1,1,0,0,58.0,0,4,4,0,0,1,1,1,2,1,2,1,19.0,0,2000,1,1271,847,847,20840,0.5
2,2,5,4,3,0,1,0,3,3,1,0,5,0,1,2,3,4,17,0,8,7,3,6,3,3,4,2,4,2,2,1,1,0,0,1,2,9,0,0,9,3,1,6,2,1,1,42.0,0,30,4,1,0,0,0,0,1,1,5,3,38.666666666666664,0,130000,0,4992,4592,4592,26876,0.45
3,1,0,2,1,0,0,0,28,4,1,1,1,0,0,1,4,3,3,0,0,0,0,2,3,3,8,8,0,0,0,0,0,0,0,0,0,4,0,0,4,3,1,0,0,0,0,10.5,0,4,3,1,0,0,0,0,0,2,2,2,14.5,0,2000,1,999,999,999,6727,0.51
2,3,5,2,1,0,0,0,1,4,0,0,7,0,0,1,4,3,22,0,2,3,3,1,2,1,8,8,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,2.5,0,7,3,0,0,1,0,0,0,1,2,1,68.0,1,22500,0,784,588,588,2624,0.44
4,1,5,3,2,0,1,1,16,4,1,0,10,1,1,1,3,5,17,1,8,3,3,2,2,1,8,8,0,0,0,0,0,0,0,1,0,7,0,1,7,3,0,3,1,0,0,17.0,0,12,4,0,0,1,1,1,0,1,3,2,77.0,1,27500,0,1972,1572,1572,13292,0.41
3,1,5,3,1,1,1,1,9,1,1,0,7,1,0,1,4,3,17,1,8,3,3,2,2,2,4,4,0,0,0,0,0,0,0,1,2,6,0,0,6,3,1,1,0,1,0,0.0,0,7,4,1,0,0,0,1,0,1,4,2,81.5,1,27500,0,2880,2480,1328,5453,0.44
5,3,6,4,2,1,1,1,3,2,0,0,7,1,1,2,3,5,2,2,8,3,3,4,3,1,2,2,1,1,0,0,1,1,0,0,6,10,0,0,6,2,1,7,1,0,1,105.0,0,30,4,1,0,0,0,1,1,1,1,2,50.5,0,82500,0,4430,4430,2418,16240,0.73
1,5,6,4,2,0,0,0,6,1,0,1,7,0,1,1,5,4,7,0,5,7,2,2,3,2,2,4,3,2,5,1,1,0,0,1,2,7,0,0,0,0,0,5,2,1,0,37.0,0,12,4,1,0,0,0,0,1,1,6,4,31.0,0,130000,0,1952,1474,1263,6729,0.62
5,3,3,2,1,0,0,1,1,4,0,0,1,1,1,1,4,3,12,0,0,3,3,1,2,1,4,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,10.5,0,12,2,1,0,0,0,1,1,1,2,1,49.0,0,22500,0,540,540,180,10354,0.45
6,4,2,3,2,1,1,0,1,2,0,1,5,0,1,1,3,4,2,0,3,3,2,1,1,1,1,2,2,5,1,0,1,0,0,1,2,7,0,0,7,1,0,3,1,0,0,12.0,1,12,3,1,0,0,0,0,1,4,7,2,38.0,0,130000,0,1692,1292,1292,4847,0.4
5,1,5,3,2,0,1,0,1,4,0,0,7,1,1,1,5,4,2,0,3,3,3,7,2,2,2,2,3,5,2,1,1,0,0,1,2,6,0,1,6,2,1,3,3,1,0,10.0,1,12,4,0,0,1,1,1,1,1,7,2,53.0,0,130000,0,2262,1862,1862,18563,0.54
4,2,6,3,2,1,1,1,6,4,0,1,5,1,1,1,3,3,7,1,3,3,3,2,3,4,4,8,1,2,0,0,1,0,0,1,2,5,1,1,5,2,0,3,1,1,0,55.5,1,18,3,0,0,1,1,1,1,1,2,2,25.0,0,62500,0,2324,1304,1563,22836,0.52
8,1,5,4,2,0,1,0,6,2,0,0,5,1,1,2,3,5,7,0,3,7,3,5,3,2,2,4,2,5,2,0,1,0,0,0,2,8,1,1,8,3,1,2,2,0,0,5.0,0,22,4,1,0,0,1,1,2,1,2,2,61.0,0,130000,0,4051,1590,1590,9660,0.44
5,0,2,3,2,1,0,0,1,3,0,1,1,0,0,1,4,3,17,0,2,3,3,5,2,1,4,4,0,0,0,0,0,0,0,0,0,9,0,0,9,1,1,6,3,1,0,5.0,0,22,4,1,0,0,0,0,0,1,4,2,56.5,1,110000,0,2023,2023,2023,4148,0.48
8,3,5,3,2,0,0,1,1,4,1,0,3,1,1,1,4,4,3,1,3,7,3,3,2,2,2,4,2,1,1,0,1,1,0,0,0,5,0,1,5,3,1,2,3,0,0,5.0,1,7,4,0,0,1,1,1,1,1,4,2,61.0,1,47500,0,1431,1431,1431,12458,0.42
4,4,5,2,1,0,0,0,0,3,0,0,7,0,0,1,3,3,12,0,0,7,3,3,2,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,24.0,0,4,4,1,0,1,0,0,1,1,4,3,30.666666666666668,0,42500,0,800,200,0,2771,0.36
4,5,0,3,1,0,0,1,9,3,1,0,10,1,1,1,4,3,7,0,3,0,0,3,2,1,4,4,3,8,2,1,1,0,0,1,2,4,0,1,0,0,0,0,0,0,0,5.0,0,7,2,0,0,1,1,1,2,1,5,3,24.333333333333332,0,52500,0,960,768,192,8240,0.44
3,3,0,2,1,0,0,0,6,4,0,0,3,0,0,1,1,3,7,0,0,0,0,1,2,1,12,12,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,2,0,0,0.0,0,30,2,1,0,0,0,0,0,3,2,2,35.5,0,12500,1,727,545,182,4069,0.57
1,1,0,0,1,0,0,0,3,3,0,1,7,0,0,1,1,2,2,0,0,0,0,1,2,2,2,2,1,8,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0.0,0,2,4,1,0,0,0,0,1,1,6,1,37.0,0,77500,0,313,313,313,1243,0.61
2,3,5,3,1,0,0,0,9,2,1,1,7,0,1,1,4,4,12,0,0,3,3,4,2,1,4,4,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,3,3,1,0,33.0,0,12,3,1,0,0,0,0,1,1,3,1,45.0,0,62500,0,3438,2947,246,22494,0.56
6,2,2,4,2,0,1,1,1,4,1,0,5,1,1,1,3,4,7,0,3,3,3,3,2,1,8,8,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,4,2,1,1,36.5,1,7,2,1,0,0,0,1,0,0,3,1,66.0,1,17500,0,2892,1780,356,6851,0.57
7,3,5,3,3,0,1,1,16,3,1,0,10,1,1,2,4,4,2,1,8,7,3,3,3,2,4,4,2,2,1,0,1,0,0,0,6,7,1,0,0,0,0,5,3,0,0,39.5,1,12,4,1,0,0,0,1,0,1,5,2,76.5,1,110000,0,6360,2992,0,15929,0.39
3,1,6,3,1,0,1,0,3,0,0,1,10,0,1,1,4,3,12,0,3,7,3,2,1,1,4,4,1,5,0,0,1,0,0,0,2,5,0,1,0,0,0,0,0,1,0,21.0,0,18,4,1,0,0,1,0,1,1,5,2,38.0,0,110000,0,1581,1088,435,5402,0.57
1,2,6,2,1,0,0,1,6,3,0,0,7,1,1,1,4,3,2,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,1,0,39.5,0,12,3,1,0,0,1,1,0,1,7,2,31.0,0,17500,1,1701,1701,340,5785,0.58
7,3,6,3,1,1,0,1,6,4,0,0,5,1,1,2,4,3,12,0,0,3,3,2,2,2,12,12,1,1,0,0,0,0,0,0,2,5,0,1,5,1,0,1,3,1,0,2.5,0,7,4,0,0,1,1,1,0,1,6,1,52.0,1,17500,0,1232,1232,1232,17144,0.39
2,2,5,3,1,0,0,1,6,2,0,0,5,1,1,1,4,3,7,0,0,3,3,2,2,1,1,1,2,2,2,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0.0,0,22,3,1,0,0,0,1,1,1,6,2,28.0,0,72500,0,1186,791,0,6548,0.55
1,3,0,4,1,0,0,0,9,2,0,0,18,0,0,1,4,3,12,0,5,0,0,2,2,1,4,2,5,5,8,2,1,0,0,0,6,6,0,1,0,0,0,0,0,0,0,21.0,0,18,2,1,0,0,1,0,2,1,5,4,27.0,0,110000,0,1286,1286,0,5983,0.66
5,4,1,2,1,0,0,1,6,2,0,1,7,1,0,1,4,3,3,0,5,3,3,3,3,2,4,4,1,1,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,42.0,1,4,3,1,0,1,0,1,1,1,4,3,24.333333333333332,0,110000,0,815,408,204,7767,0.53
4,3,0,2,1,0,0,1,6,3,0,0,5,1,0,1,4,4,7,0,0,0,0,2,3,2,8,12,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,3,0,0,47.5,0,4,2,0,0,1,1,1,1,2,2,2,27.5,0,47500,0,804,804,201,4693,0.57
1,1,0,1,1,0,0,1,6,4,1,0,10,1,1,1,1,4,2,0,0,0,0,2,1,1,8,8,2,10,8,0,1,0,0,1,0,3,0,0,0,0,0,1,2,0,0,22.5,0,4,4,1,0,0,0,1,0,2,2,2,21.0,0,22500,0,619,619,0,4010,0.51
